batter,Team,Role,matches,vap_z,rsf_z,wpa_z,ICR percentile
Mitchell Marsh,Lucknow Super Giants,Openers,13,2.275608222,1.259784632,1.683761947,100
Shreyas Iyer,Punjab Kings,Top Order,17,0.941899988,1.364155564,2.202216146,98.50746269
Heinrich Klaasen,Sunrisers Hyderabad,Middle Order,13,2.160968523,2.080889911,0.546705371,97.01492537
Nicholas Pooran,Lucknow Super Giants,Top Order,14,0.863534603,1.444356023,2.073497176,95.52238806
Sai Sudharsan,Gujarat Titans,Openers,15,2.143763318,1.657565395,0.25180919,94.02985075
Suryakumar Yadav,Mumbai Indians,Top Order,16,2.970076508,1.700744267,-1.190813926,92.53731343
Naman Dhir,Mumbai Indians,Lower Order,12,1.831440548,1.423981673,-0.075221744,91.04477612
Jos Buttler,Gujarat Titans,Top Order,13,0.433510917,1.442228859,0.86167911,89.55223881
Virat Kohli,Royal Challengers Bengaluru,Openers,15,1.195674353,1.25719102,0.042181562,88.05970149
Jitesh Sharma,Royal Challengers Bengaluru,Middle Order,11,0.293360868,0.37425548,2.016635366,86.56716418
Abhishek Sharma,Sunrisers Hyderabad,Openers,13,0.634390522,0.474128655,1.459807251,85.07462687
Shubman Gill,Gujarat Titans,Openers,15,0.025014104,1.294392414,0.693937486,83.58208955
Dewald Brevis,Chennai Super Kings,Middle Order,6,1.50890191,1.089949334,0.665468484,82.08955224
Kl Rahul,Delhi Capitals,Top Order,13,0.765802405,1.080745269,0.229660071,80.59701493
Ashutosh Sharma,Delhi Capitals,Lower Order,9,0.396593401,-0.198001222,2.017478882,79.10447761
Yashasvi Jaiswal,Rajasthan Royals,Openers,13,1.053490394,1.000882827,-0.416787322,77.6119403
Vaibhav Suryavanshi,Rajasthan Royals,Openers,6,0.441445096,0.421545319,1.435928804,76.11940299
Dhruv Jurel,Rajasthan Royals,Middle Order,13,0.890820607,0.712277442,-0.031082427,74.62686567
Priyansh Arya,Punjab Kings,Openers,18,-0.463082363,0.134489958,1.717518531,73.13432836
Shivam Dube,Chennai Super Kings,Middle Order,14,0.344798617,-0.329952376,1.710951726,71.64179104
Josh Inglis,Punjab Kings,Top Order,11,0.185736976,0.214565077,1.164017296,70.14925373
Tim David,Royal Challengers Bengaluru,Lower Order,9,0.18058319,0.959578927,0.113287945,68.65671642
Ayush Mhatre,Chennai Super Kings,Openers,7,0.491894547,0.319188413,0.775626909,67.1641791
Ajinkya Rahane,Kolkata Knight Riders,Top Order,12,0.950455587,0.460550193,-0.126018729,65.67164179
Phil Salt,Royal Challengers Bengaluru,Openers,13,0.019716605,0.578588463,0.156546755,64.17910448
Riyan Parag,Rajasthan Royals,Top Order,14,0.267729854,0.469980697,0.077034197,62.68656716
Prabhsimran Singh,Punjab Kings,Openers,18,0.010829163,0.565054008,0.017046355,61.19402985
Ayush Badoni,Lucknow Super Giants,Middle Order,11,0.598613433,0.449731355,-0.66641253,59.70149254
Washington Sundar,Gujarat Titans,Top Order,5,0.380364968,-0.182368908,0.474399359,58.20895522
Nehal Wadhera,Punjab Kings,Middle Order,15,0.733769749,-0.355515954,0.079009927,56.71641791
Sherfane Rutherford,Gujarat Titans,Top Order,11,0.054612472,0.274650772,-0.23628588,55.2238806
Marcus Stoinis,Punjab Kings,Lower Order,11,-0.219661719,0.092239089,0.101134031,53.73134328
M Shahrukh Khan,Gujarat Titans,Middle Order,11,-0.275134616,-0.277390121,0.569301892,52.23880597
Axar Patel,Delhi Capitals,Top Order,11,-0.359300487,-0.105165134,0.358529202,50.74626866
Devdutt Padikkal,Royal Challengers Bengaluru,Top Order,10,-0.21540839,-0.26081822,0.430471794,49.25373134
Vipraj Nigam,Delhi Capitals,Lower Order,8,-0.118304444,0.160596343,-0.347320598,47.76119403
Shashank Singh,Punjab Kings,Middle Order,14,-1.123212989,1.130277728,-0.952022051,46.26865672
Tristan Stubbs,Delhi Capitals,Middle Order,13,-0.628634182,1.103240282,-1.339147758,44.7761194
Aniket Verma,Sunrisers Hyderabad,Middle Order,12,-0.303010626,-1.105335582,1.386717918,43.28358209
Aiden Markram,Lucknow Super Giants,Openers,13,-0.173283648,0.224913242,-0.61183653,41.79104478
Ishan Kishan,Sunrisers Hyderabad,Top Order,13,-1.211622446,0.210114464,0.187973709,40.29850746
Tilak Varma,Mumbai Indians,Middle Order,13,0.402748032,-0.068063728,-0.745237605,38.80597015
Angkrish Raghuvanshi,Kolkata Knight Riders,Top Order,11,0.161354369,0.246264571,-1.105648239,37.31343284
Karun Nair,Delhi Capitals,Openers,8,-0.69068587,-0.670098523,0.652967098,35.82089552
Travis Head,Sunrisers Hyderabad,Openers,12,0.122563152,-0.10600127,-1.030086379,34.32835821
Nitish Rana,Rajasthan Royals,Top Order,11,-0.47892838,-0.84190749,0.376234699,32.8358209
Rajat Patidar,Royal Challengers Bengaluru,Top Order,14,0.227085277,-0.792259339,-0.778432708,31.34328358
Sunil Narine,Kolkata Knight Riders,Openers,12,-0.97586751,-0.678383877,-0.322027591,29.85074627
Devon Conway,Chennai Super Kings,Openers,6,-0.672423985,-0.832429096,-0.968002417,28.35820896
Rinku Singh,Kolkata Knight Riders,Middle Order,11,-0.859257818,-0.37474997,-0.906566258,26.86567164
Sanju Samson,Rajasthan Royals,Openers,9,-0.220896074,-0.369128336,-1.638939018,25.37313433
Abishek Porel,Delhi Capitals,Top Order,13,-0.959715111,-0.359851258,-0.855754187,23.88059701
Hardik Pandya,Mumbai Indians,Middle Order,12,-0.928614369,-0.529969847,-0.84534545,22.3880597
Ryan Rickelton,Mumbai Indians,Openers,14,-0.872446341,-0.569033539,-0.757620732,20.89552239
Shimron Hetmyer,Rajasthan Royals,Middle Order,13,-0.156290949,-1.152749233,-0.597046464,19.40298507
Will Jacks,Mumbai Indians,Top Order,11,-0.623569101,-1.140054048,-0.443148849,17.91044776
Venkatesh Iyer,Kolkata Knight Riders,Top Order,7,-0.64426874,-1.465204679,-0.546692394,16.41791045
Rachin Ravindra,Chennai Super Kings,Openers,8,-0.82810682,-1.294104214,-0.885056233,14.92537313
Abdul Samad,Lucknow Super Giants,Lower Order,12,-0.681854161,-1.269675784,-0.636782186,13.43283582
David Miller,Lucknow Super Giants,Middle Order,10,-1.261928059,-1.178358129,-0.545810165,11.94029851
Rohit Sharma,Mumbai Indians,Openers,15,-1.172904065,-1.248143417,-0.343895221,10.44776119
Nitish Kumar Reddy,Sunrisers Hyderabad,Top Order,11,-0.774489211,-1.405699391,-0.924783216,8.955223881
Andre Russell,Kolkata Knight Riders,Middle Order,10,-1.397898131,-1.568536593,-0.346119976,7.462686567
Quinton De Kock,Kolkata Knight Riders,Openers,8,-1.378213462,-1.821913671,-0.331327618,5.970149254
Ms Dhoni,Chennai Super Kings,Lower Order,13,-1.388796816,-1.168719025,-1.17257633,4.47761194
Rishabh Pant,Lucknow Super Giants,Top Order,13,-1.594263035,-1.666982799,-0.373895699,2.985074627
Ravindra Jadeja,Chennai Super Kings,Top Order,14,-1.340599023,-0.688044491,-1.854238932,1.492537313
Faf Du Plessis,Delhi Capitals,Openers,9,-0.96647934,-1.598488403,-1.581552826,0
